Wall time,Step,Value
1679953361.946268,1660,2.388065468039713e-06
1679953448.230299,1668,1.9190542843716685e-06
1679953523.395274,1675,2.6561754111753544e-06
1679953599.07956,1682,2.6803629680216545e-06
1679953695.431724,1691,2.7917278657696443e-06
1679953738.588097,1695,4.046559752168832e-06
1679953749.505124,1696,3.128717025902006e-06
1679953760.094347,1697,3.2016696422942914e-06
1679953781.488222,1699,3.3779465411498677e-06
1679953815.546952,1702,2.3915802103147143e-06
1679953891.04685,1709,2.3915433757792925e-06
1679953988.170861,1718,2.28745125241403e-06
1679954097.392425,1728,2.4608318653918104e-06
1679954142.268541,1732,2.3960571979841916e-06
1679954164.240353,1734,2.3064135348249692e-06
1679954197.682415,1737,2.147748546121875e-06
1679954252.755233,1742,2.823406475727097e-06
1679954285.342639,1745,2.2762524167774245e-06
1679954295.577705,1746,3.3251483273488702e-06
1679954306.135221,1747,3.133440714009339e-06
1679954512.393759,1766,2.3827533368603326e-06
1679954609.512174,1775,2.5258370897063287e-06
1679954672.40168,1781,2.1322273369150935e-06
1679954747.064499,1788,1.805273313948419e-06
1679954757.728806,1789,1.7718521121423692e-06
1679954854.273942,1798,2.012877303059213e-06
1679954931.137046,1805,3.737060751518584e-06
1679955055.75759,1817,2.0757213405886432e-06
1679955145.232999,1826,1.7756536863089423e-06
1679955183.832856,1830,3.90611194234225e-06
1679955283.369914,1840,1.7652814676694106e-06
1679955323.482034,1844,1.7073558638003306e-06
1679955415.368901,1853,3.3446933684899705e-06
1679955543.984034,1866,2.412337153145927e-06
1679955573.829658,1869,2.3678910565649858e-06
1679955634.043406,1875,2.269641754537588e-06
1679955654.526134,1877,1.74487820459035e-06
1679956007.020064,1911,1.7734564607962966e-06
1679956066.122737,1917,2.526719072193373e-06
1679956235.279389,1934,2.959730409202166e-06
1679956254.923838,1936,2.1841415218659677e-06
1679956275.042149,1938,2.0198892798362067e-06
1679956334.603833,1944,2.7696007691702107e-06
1679956364.60765,1947,2.3436762148776324e-06
1679956384.787106,1949,1.9703311409102753e-06
1679956565.766252,1967,1.4359771967065171e-06
1679956705.180602,1981,3.3411624826840125e-06
1679956725.040895,1983,3.1949423373589525e-06
1679956906.01271,2001,2.1906544134253636e-06
1679956945.844452,2005,1.4225687436919543e-06
1679957025.72698,2013,1.1981037459918298e-06
1679957196.014561,2030,1.4539781432176824e-06
1679957255.646452,2036,1.9966394120274344e-06
1679957495.283544,2060,2.473545691827894e-06
1679957615.30492,2072,1.575031092215795e-06
1679957625.26524,2073,1.4737903484274284e-06
1679957655.359947,2076,1.5255657217494445e-06
1679957665.371673,2077,1.7047268556780182e-06
1679957685.310156,2079,1.8996754533873172e-06
1679957705.166498,2081,1.790299620552105e-06
1679957745.311917,2085,1.9570836684579263e-06
1679957784.973384,2089,2.330029474251205e-06
1679957835.270847,2094,2.652308239703416e-06
1679957855.416491,2096,2.564531087045907e-06
1679958007.07904,2111,2.780478780550766e-06
1679958346.123819,2145,1.592284434082103e-06
1679958386.476955,2149,1.7741512010616134e-06
1679958407.990546,2151,2.279774889757391e-06
1679958455.987531,2156,3.2807367915665964e-06
1679958543.312078,2165,2.70237819677277e-06
1679958624.021276,2173,1.7188821175295743e-06
1679958663.073206,2177,2.1030182324466296e-06
1679958763.978104,2187,1.2192991789561347e-06
1679958784.098562,2189,1.3986641533847433e-06
1679958804.112625,2191,1.3937102494310238e-06
1679958814.385831,2192,1.3701487660000566e-06
1679958854.215071,2196,1.839198375819251e-06
1679958884.029619,2199,1.9419064756220905e-06
1679958965.358338,2207,2.4745359041844495e-06
1679959005.312401,2211,1.5004286524344934e-06
1679959146.215134,2225,1.676977376519062e-06
1679959206.855583,2231,1.7769015130397747e-06
1679959257.223746,2236,1.720857994769176e-06
1679959267.424185,2237,1.5637923524991493e-06
1679959287.666222,2239,1.290024556510616e-06
1679959318.04722,2242,1.3746066542807966e-06
1679959338.071832,2244,1.5005799696155009e-06
1679959358.339441,2246,1.9146193608321482e-06
1679959368.416243,2247,1.3739480664298753e-06
1679959441.233342,2254,1.542087375128176e-06
1679959471.478481,2257,1.730364715513133e-06
1679959521.835874,2262,1.750787873788795e-06
1679959712.863205,2281,1.4878413594487938e-06
1679959813.514465,2291,1.729616542434087e-06
1679959873.053257,2297,2.100748588418355e-06
1679959935.772704,2303,1.55097950482741e-06
1679959975.716378,2307,2.938547140729497e-06
1679959985.993472,2308,1.8310493032913655e-06
1679960094.927102,2319,3.474962340987986e-06
1679960104.931147,2320,1.7679354868960218e-06
1679960255.215541,2335,1.758561438691686e-06
1679960354.88629,2345,3.3587830330361612e-06
1679960446.926959,2354,1.5998473372746957e-06
1679960617.559202,2371,2.0499171569099417e-06
1679960798.544046,2389,3.0919889013603097e-06
1679960808.574338,2390,2.9392779197223717e-06
1679960828.923308,2392,2.549345936131431e-06
1679960931.236158,2402,2.289377107445034e-06
1679960971.512017,2406,3.3167425499414094e-06
1679961162.839201,2425,2.3111037990020122e-06
1679961273.885486,2436,1.8747840613286826e-06
1679961353.23542,2444,3.3504707062093075e-06
1679961413.34764,2450,2.0809718535019783e-06
1679961425.743948,2451,2.1966077383694937e-06
1679961445.896432,2453,2.3290369881578954e-06
1679961465.753373,2455,3.403049959160853e-06
1679961514.971781,2460,3.612843784139841e-06
1679961765.67299,2485,3.1813815439818427e-06
1679961775.832685,2486,3.6636297409131657e-06
1679961876.39233,2496,2.874189249268966e-06
1679961896.275034,2498,2.9346440442168387e-06
1679961948.96546,2503,2.3505040189775173e-06
1679962089.804704,2517,2.1810330963489832e-06
1679962150.325309,2523,3.445275069680065e-06
1679962221.141745,2530,2.506656983314315e-06
1679962240.960283,2532,1.9490323666104814e-06
1679962391.298374,2547,3.7478034755622502e-06
1679962433.617506,2551,2.261991539853625e-06
1679962454.012405,2553,1.7182364899781533e-06
1679962583.792343,2566,2.2106851247372106e-06
1679962705.13979,2578,2.0649811176554067e-06
1679962826.405385,2590,1.9738979517569533e-06
1679962836.453846,2591,1.902383132801333e-06
1679962846.769421,2592,2.3408256311086006e-06
1679962927.680305,2600,1.959107294169371e-06
1679962990.209534,2606,1.960769850484212e-06
